product_code,customer_code,market_code,order_date,sales_qty,sales_amount,cost_price,profit,profit_margin,Revenue,Total Expense (COGS),Net Income,Total Equity,Total Assets ,Operating Income ,Gross Margin,Net Margin,Ratio of Equity,Ratio of Assets,Operating  Margin 
Prod234,Cus010,Mark003,04-10-2020,1,1796,1131.48,664.52,0.37,1796,1131.48,664.52,664.52,2927.48,2460.52,0.37,37,100,22.7,137
Prod237,Cus010,Mark003,04-10-2020,1,801,825.03,-24.03,-0.03,801,825.03,-24.03,-24.03,1626.03,776.97,-0.03,-3,100,-1.48,97
Prod188,Cus010,Mark003,04-10-2020,1,1435,1894.2,-459.2,-0.32,1435,1894.2,-459.2,-459.2,3329.2,975.8,-0.32,-32,100,-13.79,68
Prod106,Cus035,Mark007,04-10-2020,1,694,610.72,83.28,0.12,694,610.72,83.28,83.28,1304.72,777.28,0.12,12,100,6.38,112
Prod093,Cus035,Mark007,04-10-2020,1,440,334.4,105.6,0.24,440,334.4,105.6,105.6,774.4,545.6,0.24,24,100,13.64,124
Prod212,Cus035,Mark007,04-10-2020,1,435,582.9,-147.9,-0.34,435,582.9,-147.9,-147.9,1017.9,287.1,-0.34,-34,100,-14.53,66
Prod237,Cus035,Mark007,04-10-2020,1,1412,1171.96,240.04,0.17,1412,1171.96,240.04,240.04,2583.96,1652.04,0.17,17,100,9.29,117
Prod105,Cus003,Mark014,04-10-2020,1,46,33.58,12.42,0.27,46,33.58,12.42,12.42,79.58,58.42,0.27,27,100,15.61,127
Prod249,Cus003,Mark014,04-10-2020,1,56,38.64,17.36,0.31,56,38.64,17.36,17.36,94.64,73.36,0.31,31,100,18.34,131
Prod094,Cus003,Mark014,04-10-2020,2,241,166.29,74.71,0.31,482,332.58,149.42,315.71,407.29,556.71,0.31,31,47.33,36.69,115.5
Prod079,Cus035,Mark007,04-10-2020,2,1389,1180.65,208.35,0.15,2778,2361.3,416.7,1597.35,2569.65,2986.35,0.15,15,26.09,16.22,107.5
Prod105,Cus035,Mark007,04-10-2020,2,583,513.04,69.96,0.12,1166,1026.08,139.92,652.96,1096.04,1235.96,0.12,12,21.43,12.77,106
Prod234,Cus035,Mark007,04-10-2020,2,2287,2378.48,-91.48,-0.04,4574,4756.96,-182.96,2195.52,4665.48,4482.52,-0.04,-4,-8.33,-3.92,98
Prod133,Cus010,Mark003,04-10-2020,3,2699,3319.77,-620.77,-0.23,8097,9959.31,-1862.31,4777.23,6018.77,7476.23,-0.23,-23,-38.98,-30.94,92.33
Prod207,Cus010,Mark003,04-10-2020,3,2972,3893.32,-921.32,-0.31,8916,11679.96,-2763.96,5022.68,6865.32,7994.68,-0.31,-31,-55.03,-40.26,89.67
Prod119,Cus029,Mark002,04-10-2020,3,519,519,0,0,1557,1557,0,1038,1038,1557,0,0,0,0,100
Prod234,Cus012,Mark007,04-10-2020,6,5644,3781.48,1862.52,0.33,33864,22688.88,11175.12,30082.52,9425.48,35726.52,0.33,33,37.15,118.56,105.5
Prod053,Cus035,Mark007,04-10-2020,4,1111,899.91,211.09,0.19,4444,3599.64,844.36,3544.09,2010.91,4655.09,0.19,19,23.82,41.99,104.75
Prod105,Cus001,Mark010,04-10-2020,4,954,725.04,228.96,0.24,3816,2900.16,915.84,3090.96,1679.04,4044.96,0.24,24,29.63,54.55,106
Prod093,Cus001,Mark010,04-10-2020,13,1093,961.84,131.16,0.12,14209,12503.92,1705.08,13247.16,2054.84,14340.16,0.12,12,12.87,82.98,100.92
Prod260,Cus001,Mark010,04-10-2020,5,560,504,56,0.1,2800,2520,280,2296,1064,2856,0.1,10,12.2,26.32,102
Prod129,Cus029,Mark002,04-10-2020,12,3269,3334.38,-65.38,-0.02,39228,40012.56,-784.56,35893.62,6603.38,39162.62,-0.02,-2,-2.19,-11.88,99.83
Prod218,Cus010,Mark003,04-10-2020,6,7023,8778.75,-1755.75,-0.25,42138,52672.5,-10534.5,33359.25,15801.75,40382.25,-0.25,-25,-31.58,-66.67,95.83
Prod060,Cus010,Mark003,04-10-2020,37,16245,19656.45,-3411.45,-0.21,601065,727288.65,-126223.65,581408.55,35901.45,597653.55,-0.21,-21,-21.71,-351.58,99.43
Prod113,Cus010,Mark003,04-10-2020,6,1907,1487.46,419.54,0.22,11442,8924.76,2517.24,9954.54,3394.46,11861.54,0.22,22,25.29,74.16,103.67
Prod021,Cus010,Mark003,04-10-2020,4,9032,8851.36,180.64,0.02,36128,35405.44,722.56,27276.64,17883.36,36308.64,0.02,2,2.65,4.04,100.5
